idptar;X;Y;Annonce Sonore Prochain Passage;Annonce Visuelle Prochain Passage;Annonce Sonore Situations Perturbees;Annonce Visuelle Situations Perturbees;coord;IDAMIVIF;nomptar;CODEINSEE;Accessibilité UFR;PAQT;IDFM;Sens;Doublon;Ligne;GIPA
5478402;605698;2424799;1;0;1;0;48.8215525606,2.41406101531;IDAMIVIF;CHARENTON-ECOLES;94018;1;;100100111;R;;111;255
5991322;603662;2436871;1;0;1;0;48.9300617718,2.38645207203;IDAMIVIF;6 ROUTES-TRAMWAY;93027;1;;100100143;R;OK;143;13740
3682916;618603;2430879;1;0;1;0;48.875953278,2.5899750456;IDAMIVIF;RUE DUCHESNE;77108;0;;100100113;R;;113;16850
3685717;610805;2429692;1;0;1;0;48.8654633092,2.48369587083;IDAMIVIF;DIDEROT;93064;0;;100100118;R;Ok;118;10918
3715236;613830;2431001;1;0;1;0;48.8771699044,2.52494618446;IDAMIVIF;LYCEE GEORGES CLEMENCEAU;93077;1;;100100114;R;Ok;114;3445
5478370;604551;2425899;1;0;1;0;48.8314480243,2.39846097343;IDAMIVIF;PORTE DE CHARENTON;75112;0;;100100111;R;;111;23004
5991355;609463;2434767;1;0;1;0;48.911094359,2.46552742337;IDAMIVIF;CHEMIN DU TONNEAU;93008;1;;100100143;R;OK;143;4470
3682902;616030;2429641;1;0;1;0;48.8648961996,2.55487087455;IDAMIVIF;L'AVENIR;93050;0;;100100113;R;;113;2948
3685770;610805;2429692;1;0;1;0;48.8654633092,2.48369587083;IDAMIVIF;DIDEROT;93064;0;;100100118;A;Ok;118;10918
4798802;611393;2426658;1;1;1;1;48.838185269,2.49162466815;IDAMIVIF;MAIRIE DE NOGENT-SUR-MARNE;94052;1;;100100114;A;Ok;114;3011
5478368;604143;2425775;1;0;1;0;48.8303362858,2.39290547208;IDAMIVIF;BARON LE ROY;75112;0;;100100111;R;;111;62175
5991378;610924;2430507;1;0;1;0;48.8727859759,2.48533785442;IDAMIVIF;COPERNIC;93064;1;;100100143;R;OK;143;3253
3682900;615643;2429541;1;0;1;0;48.8640069786,2.54959539128;IDAMIVIF;MAISON BLANCHE;93050;0;;100100113;R;;113;2949
