Date/Mensuel;Code UIC;Nom de la gare;Assistance simple;Rampe;Fauteuil;Rampe et  fauteuil;Total
2018-03;0087345009;Douai;65;55;22;0;142
2018-03;0087281006;Dunkerque;105;62;19;0;186
2018-03;0087763466;Embrun;3;6;3;0;12
2018-03;0087144006;Épinal;68;39;10;0;117
2018-03;0087271148;Épinay-sur-Seine;0;0;0;0;0
2018-03;0087545137;Étampes;2;0;0;0;2
2018-03;0087745679;Évian-les-Bains;4;1;0;0;5
2018-03;0087613091;Figeac;29;3;4;0;36
2018-03;0087171330;Fismes;0;0;0;0;0
2018-03;0087113514;Gagny;0;2;0;0;2
2018-03;0087615252;Gaillac;2;0;1;0;3
2018-03;0087382259;Garches - Marnes-la-Coquette;0;22;0;0;22
2018-03;0087172130;Givet;0;1;0;0;1
2018-03;0087722405;Givors;3;0;0;0;3
2018-03;0087213058;Haguenau;12;2;4;2;20
2018-03;0087286302;Hazebrouck;40;26;7;2;75
2018-03;0087393462;Houdan;0;0;0;0;0
2018-03;0087394437;Illiers-Combray;0;2;0;0;2
2018-03;0087271171;La Barre Ormesson;0;0;0;0;0
2018-03;0087382432;La Celle-Saint-Cloud;0;0;0;0;0
2018-03;0087696195;La Charité-Sur-Loire;0;0;0;0;0
2018-03;0087543124;La Ferté-Saint-Aubin;0;0;0;0;0
2018-03;0087485003;La Rochelle;147;93;70;2;312
2018-03;0087723395;La Verpillière;3;0;0;0;3
2018-03;0087474239;Landerneau;45;24;23;4;96
2018-03;0087582775;Langon;7;1;0;0;8
2018-03;0087763557;L'Argentière Les Écrins;2;0;1;0;3
2018-03;0087683268;Laroche - Migennes;37;21;1;0;59
2018-03;0087478404;Laval;159;41;38;1;239
2018-03;0087381095;Le Stade;0;0;0;0;0
2018-03;0087492108;Les Ardoines;0;0;0;0;0
2018-03;0087543017;Les Aubrais;105;13;17;3;138
2018-03;0087113803;Les Yvris Noisy-le-Grand;0;0;0;0;0
2018-03;0087584052;Libourne;53;17;14;4;88
2018-03;0087286005;Lille Flandres;406;383;144;9;942
2018-03;0087142109;Lorraine TGV;62;43;42;0;147
2018-03;0087276253;Louvres;0;0;0;0;0
2018-03;0087282624;Lyon Jean Macé;0;0;0;0;0
2018-03;0087725705;Mâcon Loché TGV;13;27;13;0;53
2018-03;0087751321;Manosque - Gréoux-les-Bains;7;0;7;0;14
2018-03;0087382812;Mareil-Marly;0;0;0;0;0
2018-03;0087382465;Marly-le-Roi;1;0;0;0;1
2018-03;0087111849;Marne-la-Vallée Chessy;260;386;146;8;800
2018-03;0087545186;Marolles-en-Hurepoix;0;0;0;0;0
2018-03;0087681411;Mennecy;0;0;0;0;0
2018-03;0087313668;Méru;3;1;0;0;4
2018-03;0087574137;Meung-sur-Loire;0;4;1;0;5
2018-03;0087783001;Millau;3;0;4;0;7
2018-03;0087271528;Mitry - Claye;0;2;0;0;2
2018-03;0087756403;Monaco monte carlo;13;3;19;1;36
2018-03;0087684001;Montargis;4;7;3;0;14
2018-03;0087611244;Montauban Ville Bourbon;66;44;26;1;137
2018-03;0087184523;Montbéliard;20;13;0;0;33
2018-03;0087276089;Montigny - Beauchamp;0;0;0;0;0
2018-03;0087723569;Montluel;0;0;0;0;0
2018-03;0087574855;Montrichard;1;0;1;0;2
2018-03;0087682278;Moret - Veneux-les-Sablons;0;1;0;0;1
