,Rang,Réseau,Station,Trafic,Correspondance_1,Correspondance_2,Correspondance_3,Correspondance_4,Correspondance_5,Ville,Arrondissement pour Paris,NB_CORR
317,176,Métro,PARMENTIER,1499805,3,0,0,0.0,0.0,Paris,11.0,1
318,290,Métro,KLEBER,513955,6,0,0,0.0,0.0,Paris,16.0,1
319,195,Métro,SAINT-MAUR,1331250,3,0,0,0.0,0.0,Paris,11.0,1
320,294,Métro,ASSEMBLEE NATIONALE,395997,12,0,0,0.0,0.0,Paris,7.0,1
321,199,Métro,LAMARCK-CAULAINCOURT,1283881,12,0,0,0.0,0.0,Paris,18.0,1
322,297,Métro,BOLIVAR,278933,7bis,0,0,0.0,0.0,Paris,19.0,1
323,204,Métro,CADET,1240692,7,0,0,0.0,0.0,Paris,9.0,1
324,298,Métro,DANUBE,266623,7bis,0,0,0.0,0.0,Paris,19.0,1
325,212,Métro,SAINT-MARCEL,1211679,5,0,0,0.0,0.0,Paris,13.0,1
326,300,Métro,BUTTES-CHAUMONT,242027,7bis,0,0,0.0,0.0,Paris,19.0,1
327,213,Métro,CRETEIL-L'ECHAT,1209224,8,0,0,0.0,0.0,Créteil,0.0,1
328,302,Métro,PELLEPORT,178325,3bis,0,0,0.0,0.0,Paris,20.0,1
329,223,Métro,NOTRE-DAME-DE-LORETTE,1176983,12,0,0,0.0,0.0,Paris,9.0,1
330,8,RER,NOISY-LE-GRAND-MONT D'EST,4492037,A,0,0,0.0,0.0,Noisy-le-Grand,0.0,1
331,228,Métro,PORTE DE CHARENTON,1146232,8,0,0,0.0,0.0,Paris,12.0,1
332,13,RER,NEUILLY-PLAISANCE,3726798,A,0,0,0.0,0.0,Neuilly-sur-Seine,0.0,1
333,236,Métro,EXELMANS,1055609,9,0,0,0.0,0.0,Paris,16.0,1
334,15,RER,NOISY-CHAMPS,3393192,A,0,0,0.0,0.0,Champs-sur-Marne,0.0,1
335,240,Métro,EDGAR QUINET,1011168,6,0,0,0.0,0.0,Paris,14.0,1
336,19,RER,SAINT-MICHEL-NOTRE-DAME,2716148,B,0,0,0.0,0.0,Paris,0.0,1
337,243,Métro,BREGUET-SABIN,1003059,5,0,0,0.0,0.0,Paris,11.0,1
338,23,RER,BOURG-LA-REINE,2409369,B,0,0,0.0,0.0,Bourg la Reine,0.0,1
339,245,Métro,LA TOUR-MAUBOURG,965136,8,0,0,0.0,0.0,Paris,7.0,1
340,32,RER,ARCUEIL-CACHAN,1900758,B,0,0,0.0,0.0,Arcueil,0.0,1
341,250,Métro,SOLFERINO,923536,12,0,0,0.0,0.0,Paris,7.0,1
342,36,RER,LA CROIX DE BERNY,1799762,B,0,0,0.0,0.0,Antony,0.0,1
343,255,Métro,MAISONS-ALFORT-LES JUILLIOTTES,905627,8,0,0,0.0,0.0,Maisons -Alfort,0.0,1
344,42,RER,ORSAY-VILLE,1383444,B,0,0,0.0,0.0,Orsay,0.0,1
345,265,Métro,SAINT-SEBASTIEN-FROISSART,816381,8,0,0,0.0,0.0,Paris,3.0,1
346,50,RER,LES BACONNETS,1098252,B,0,0,0.0,0.0,Antony,0.0,1
347,266,Métro,SAINT-FRANCOIS-XAVIER,812792,13,0,0,0.0,0.0,Paris,7.0,1
